location,goods,price,price_factors,supply_volume,quality_grade,record_date
Dugbe,Cucumber,249.55,Market Competition,Low,Grade A (Fresh),2023-06-17
Bashorun,Banana,187.55,Seasonal Availability,Low,Grade B (Average),2023-05-30
Sango,Mangoes,476.3,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-02-03
Mokola,Okra,655.14,Pest/Disease Outbreak,High,Grade A (Fresh),2024-03-19
Ring Road (Central Ibadan),Sweet Potatoes,771.22,Fuel Price Hike,High,Grade A (Fresh),2023-10-17
Maryland,Beans,715.65,Pest/Disease Outbreak,High,Grade B (Average),2023-07-30
Eleyele,Beans,565.89,Storage Limitations,Low,Grade B (Average),2023-12-20
Apapa,Sweet Potatoes,594.85,Storage Limitations,Moderate,Grade B (Average),2023-08-08
Samonda,Pineapple,781.96,Fuel Price Hike,Moderate,Grade A (Fresh),2023-07-19
Badagry,Spinach,399.02,Government Policies,High,Grade B (Average),2023-08-27
Magodo,Maize,294.76,Government Policies,High,Grade A (Fresh),2023-08-17
Egbeda,Spinach,492.04,Fuel Price Hike,Scarce,Grade A (Fresh),2023-08-18
Oshodi,Pepper,808.11,Market Competition,Moderate,Grade B (Average),2023-03-31
Ketu,Chicken (Live),7301.08,Fuel Price Hike,High,Grade A (Fresh),2024-02-29
Agege,Cucumber,488.35,Government Policies,Low,Grade A (Fresh),2023-02-16
Iwo Road,Pepper,2066.08,Fuel Price Hike,Moderate,Grade A (Fresh),2023-10-06
Orita-Challenge,Maize,613.22,Seasonal Availability,Scarce,Grade C (Below Average),2023-07-18
Egbeda,Fish (Fresh),3587.01,Seasonal Availability,High,Grade C (Below Average),2023-10-18
Monatan,Pepper,1221.5,Weather Conditions,Scarce,Grade B (Average),2023-01-29
Molete,Pineapple,965.36,Weather Conditions,Moderate,Grade C (Below Average),2023-10-21
Oke Ado,Spinach,369.41,Storage Limitations,High,Grade C (Below Average),2024-03-31
Orita-Challenge,Tomatoes,324.88,Seasonal Availability,Low,Grade B (Average),2023-08-09
Amuwo Odofin,Chicken (Live),10759.02,Demand Surge,Low,Grade C (Below Average),2023-05-01
Mushin,Garlic,1716.52,Weather Conditions,Low,Grade B (Average),2023-09-03
Ojodu,Ginger,2354.32,Government Policies,High,Grade C (Below Average),2023-04-05
Agege,Carrots,303.59,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-07-01
Challenge,Sweet Potatoes,632.83,Government Policies,Moderate,Grade A (Fresh),2024-02-06
Ketu,Rice,1433.31,Transportation Cost,Moderate,Grade A (Fresh),2023-10-03
Ologuneru,Cabbage,417.14,Seasonal Availability,Low,Grade B (Average),2023-01-03
Molete,Ginger,3702.08,Fuel Price Hike,Moderate,Grade A (Fresh),2024-01-08
Dugbe,Potatoes,714.55,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-11-19
Mushin,Rice,534.4,Transportation Cost,Moderate,Grade B (Average),2023-03-29
Mokola,Potatoes,586.86,Pest/Disease Outbreak,High,Grade A (Fresh),2023-06-06
Ojoo,Cucumber,221.08,Government Policies,Scarce,Grade A (Fresh),2024-01-12
Amuwo Odofin,Potatoes,437.63,Weather Conditions,Low,Grade A (Fresh),2024-02-29
Molete,Chicken (Live),8909.87,Market Competition,Moderate,Grade A (Fresh),2023-11-07
UI (University of Ibadan),Plantain,783.13,Pest/Disease Outbreak,High,Grade B (Average),2024-03-04
Oshodi,Onions,523.37,Weather Conditions,Scarce,Grade A (Fresh),2023-04-19
Dugbe,Okra,1348.65,Fuel Price Hike,Low,Grade A (Fresh),2023-10-14
UI (University of Ibadan),Pepper,1249.06,Transportation Cost,Low,Grade A (Fresh),2024-01-30
Festac Town,Ginger,1977.66,Market Competition,Moderate,Grade A (Fresh),2024-02-25
Ijegun,Watermelon,3424.15,Fuel Price Hike,High,Grade B (Average),2023-08-07
Orita-Challenge,Mangoes,402.38,Seasonal Availability,High,Grade C (Below Average),2023-07-25
Lekki,Maize,240.94,Seasonal Availability,Moderate,Grade A (Fresh),2023-05-10
Jericho,Oranges,139.45,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-06-12
Bodija,Ginger,1607.85,Pest/Disease Outbreak,Scarce,Grade A (Fresh),2023-01-14
Festac Town,Plantain,797.0,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-11-22
Agbowo,Rice,1865.42,Storage Limitations,Low,Grade A (Fresh),2023-02-28
Anthony Village,Chicken (Live),1804.58,Seasonal Availability,High,Grade B (Average),2023-09-03
Eleyele,Potatoes,285.38,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-08-10
Gbagada,Beans,1442.55,Transportation Cost,Moderate,Grade A (Fresh),2023-04-09
Mokola,Spinach,474.61,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-04-11
Mushin,Banana,425.6,Storage Limitations,Scarce,Grade A (Fresh),2023-05-28
Ijegun,Spinach,613.51,Demand Surge,Scarce,Grade C (Below Average),2023-11-29
Oluyole Estate,Lettuce,205.0,Exchange Rate Fluctuation,Low,Grade B (Average),2023-03-22
Ologuneru,Cabbage,131.32,Seasonal Availability,High,Grade A (Fresh),2023-07-22
Badagry,Potatoes,1187.88,Demand Surge,High,Grade A (Fresh),2023-08-02
Bodija,Spinach,272.93,Weather Conditions,Moderate,Grade B (Average),2023-11-03
Ring Road (Central Ibadan),Potatoes,743.33,Transportation Cost,Moderate,Grade B (Average),2023-02-14
Mokola,Beans,841.8,Fuel Price Hike,Low,Grade A (Fresh),2024-03-20
Eleyele,Spinach,357.01,Exchange Rate Fluctuation,High,Grade B (Average),2023-10-23
UI (University of Ibadan),Maize,277.88,Pest/Disease Outbreak,Moderate,Grade B (Average),2023-10-22
Oshodi,Tomatoes,464.93,Exchange Rate Fluctuation,High,Grade C (Below Average),2023-05-02
Ojodu,Ginger,2090.95,Market Competition,High,Grade B (Average),2023-08-24
Oshodi,Yam,440.84,Market Competition,Scarce,Grade A (Fresh),2023-04-08
Bodija,Oranges,172.09,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-07-01
Ikorodu,Fish (Fresh),3215.93,Transportation Cost,Moderate,Grade B (Average),2023-04-17
Bashorun,Plantain,354.3,Storage Limitations,Moderate,Grade A (Fresh),2023-05-26
Oluyole Estate,Tomatoes,1347.35,Seasonal Availability,Moderate,Grade A (Fresh),2023-06-13
Yaba,Banana,131.39,Market Competition,Moderate,Grade A (Fresh),2023-08-16
Festac Town,Garlic,1851.24,Seasonal Availability,Moderate,Grade A (Fresh),2023-09-29
Agbowo,Spinach,308.86,Storage Limitations,High,Grade A (Fresh),2023-08-04
Gbagada,Maize,746.25,Fuel Price Hike,High,Grade A (Fresh),2023-08-12
Ijegun,Mangoes,534.92,Market Competition,Moderate,Grade A (Fresh),2023-05-21
Agbowo,Oranges,124.0,Exchange Rate Fluctuation,High,Grade A (Fresh),2024-03-08
Mushin,Okra,880.01,Exchange Rate Fluctuation,Scarce,Grade B (Average),2023-03-04
Apapa,Plantain,743.47,Government Policies,Moderate,Grade A (Fresh),2023-11-15
Ketu,Fish (Fresh),4935.38,Fuel Price Hike,Moderate,Grade A (Fresh),2023-01-07
Oke Bola,Beans,955.27,Storage Limitations,High,Grade B (Average),2023-08-05
Dugbe,Chicken (Live),8648.37,Pest/Disease Outbreak,High,Grade C (Below Average),2023-07-09
Ojodu,Ginger,2050.41,Government Policies,Low,Grade B (Average),2023-09-19
Ring Road (Central Ibadan),Pepper,925.83,Pest/Disease Outbreak,High,Grade B (Average),2024-03-22
Molete,Banana,226.36,Seasonal Availability,Low,Grade A (Fresh),2023-01-14
Monatan,Okra,632.5,Transportation Cost,Scarce,Grade B (Average),2024-01-02
Orita-Challenge,Onions,586.0,Government Policies,High,Grade A (Fresh),2023-11-28
Festac Town,Okra,860.45,Market Competition,Low,Grade B (Average),2023-09-22
Mokola,Fish (Fresh),6130.27,Demand Surge,High,Grade A (Fresh),2024-02-07
Oke Ado,Plantain,496.52,Storage Limitations,Scarce,Grade A (Fresh),2023-05-11
Monatan,Rice,1290.56,Seasonal Availability,Low,Grade A (Fresh),2024-01-13
Agbowo,Mangoes,451.47,Exchange Rate Fluctuation,High,Grade A (Fresh),2024-02-07
Agbowo,Banana,493.22,Pest/Disease Outbreak,High,Grade A (Fresh),2023-12-05
Agodi GRA,Pineapple,575.16,Transportation Cost,Low,Grade A (Fresh),2023-02-02
Ogba,Maize,341.41,Fuel Price Hike,High,Grade B (Average),2023-04-07
Ijegun,Tomatoes,1064.17,Weather Conditions,High,Grade A (Fresh),2023-10-14
Epe,Mangoes,342.2,Market Competition,High,Grade A (Fresh),2023-06-02
Agege,Ginger,2567.77,Fuel Price Hike,Moderate,Grade A (Fresh),2023-08-07
Challenge,Rice,1374.04,Fuel Price Hike,High,Grade A (Fresh),2024-02-19
Ijegun,Banana,863.38,Fuel Price Hike,Moderate,Grade B (Average),2023-02-12
Mokola,Cucumber,198.11,Storage Limitations,Low,Grade A (Fresh),2023-07-22
Sango,Okra,393.1,Weather Conditions,Moderate,Grade B (Average),2024-01-27
Agege,Cabbage,476.49,Government Policies,Moderate,Grade A (Fresh),2023-09-29
Alimosho,Pepper,792.35,Seasonal Availability,Moderate,Grade A (Fresh),2023-03-28
Festac Town,Garlic,3347.2,Weather Conditions,High,Grade A (Fresh),2023-02-20
UI (University of Ibadan),Plantain,781.75,Exchange Rate Fluctuation,Low,Grade B (Average),2023-02-02
Apapa,Carrots,898.93,Weather Conditions,Low,Grade B (Average),2023-04-04
Alimosho,Onions,328.2,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-11-26
Ring Road (Central Ibadan),Okra,683.29,Market Competition,Moderate,Grade A (Fresh),2023-10-13
Ogba,Plantain,243.96,Market Competition,Scarce,Grade A (Fresh),2023-01-27
Akobo,Cucumber,296.66,Storage Limitations,High,Grade B (Average),2023-11-23
Ologuneru,Watermelon,892.93,Market Competition,High,Grade B (Average),2023-06-29
Ajah,Fish (Fresh),8517.22,Demand Surge,Low,Grade A (Fresh),2023-09-05
Agodi GRA,Cucumber,179.13,Weather Conditions,Moderate,Grade A (Fresh),2023-01-14
Oke Bola,Rice,1294.37,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-11-30
Ijegun,Rice,655.92,Pest/Disease Outbreak,Scarce,Grade A (Fresh),2023-07-02
Bashorun,Beans,967.73,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-06-27
Anthony Village,Cabbage,685.09,Demand Surge,High,Grade B (Average),2023-12-21
Egbeda,Lettuce,690.29,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-01-28
Oke Ado,Rice,2665.94,Fuel Price Hike,Low,Grade B (Average),2024-01-13
Oshodi,Lettuce,340.53,Pest/Disease Outbreak,Moderate,Grade B (Average),2024-03-31
Epe,Oranges,279.4,Market Competition,High,Grade B (Average),2023-01-08
Ojoo,Onions,756.81,Weather Conditions,High,Grade A (Fresh),2023-05-24
Magodo,Sweet Potatoes,294.97,Pest/Disease Outbreak,High,Grade A (Fresh),2023-04-15
Ojodu,Okra,433.82,Pest/Disease Outbreak,Scarce,Grade A (Fresh),2023-02-03
Surulere,Cucumber,221.62,Storage Limitations,Moderate,Grade A (Fresh),2023-10-05
Molete,Cucumber,567.01,Fuel Price Hike,Moderate,Grade B (Average),2023-02-25
Oke Ado,Beans,547.99,Weather Conditions,High,Grade A (Fresh),2023-10-11
Ajah,Spinach,297.25,Storage Limitations,High,Grade A (Fresh),2023-04-12
Maryland,Banana,434.46,Storage Limitations,Scarce,Grade B (Average),2023-03-09
Oke Ado,Watermelon,1158.93,Seasonal Availability,High,Grade A (Fresh),2023-01-13
Ikeja,Pepper,2219.91,Fuel Price Hike,Moderate,Grade B (Average),2023-02-17
UI (University of Ibadan),Tomatoes,307.46,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-10-24
Ring Road (Central Ibadan),Onions,708.88,Government Policies,High,Grade C (Below Average),2023-11-07
Epe,Beans,1185.48,Weather Conditions,Low,Grade C (Below Average),2024-01-12
Dugbe,Carrots,509.75,Fuel Price Hike,High,Grade C (Below Average),2024-02-15
Ikoyi,Lettuce,681.92,Government Policies,Low,Grade A (Fresh),2023-05-06
Ojodu,Cabbage,429.14,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-01-21
Mushin,Pepper,941.07,Seasonal Availability,High,Grade A (Fresh),2023-11-16
Badagry,Mangoes,278.81,Exchange Rate Fluctuation,Scarce,Grade B (Average),2023-06-08
Agbowo,Sweet Potatoes,741.53,Government Policies,Moderate,Grade C (Below Average),2023-06-15
Egbeda,Tomatoes,416.82,Government Policies,Moderate,Grade A (Fresh),2023-09-01
Molete,Oranges,293.71,Government Policies,High,Grade B (Average),2023-01-06
Oke Bola,Mangoes,425.42,Transportation Cost,High,Grade A (Fresh),2023-11-08
Orita-Challenge,Beans,1190.64,Storage Limitations,Low,Grade A (Fresh),2023-04-01
Iwo Road,Garlic,1121.22,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-09-13
Ogba,Sweet Potatoes,640.82,Government Policies,Moderate,Grade A (Fresh),2023-11-04
Ikoyi,Onions,315.05,Storage Limitations,Scarce,Grade A (Fresh),2023-08-30
Ikorodu,Pepper,650.96,Storage Limitations,Moderate,Grade A (Fresh),2023-05-24
Monatan,Maize,583.95,Seasonal Availability,Scarce,Grade A (Fresh),2024-03-23
Oke Bola,Potatoes,763.34,Storage Limitations,Low,Grade B (Average),2023-09-28
Alimosho,Cucumber,332.86,Seasonal Availability,High,Grade B (Average),2023-10-15
Gbagada,Yam,888.58,Seasonal Availability,High,Grade A (Fresh),2023-02-17
Agbowo,Oranges,96.66,Weather Conditions,Low,Grade A (Fresh),2023-01-12
Surulere,Ginger,1800.0,Demand Surge,High,Grade C (Below Average),2024-03-25
Ikorodu,Plantain,830.22,Storage Limitations,Moderate,Grade B (Average),2023-05-02
Ikorodu,Cucumber,141.24,Demand Surge,Moderate,Grade A (Fresh),2024-03-03
Ikeja,Maize,342.73,Market Competition,Moderate,Grade A (Fresh),2023-04-12
Sango,Spinach,317.73,Weather Conditions,Low,Grade A (Fresh),2024-03-02
Agbowo,Lettuce,670.91,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-11-20
UI (University of Ibadan),Ginger,2618.17,Fuel Price Hike,Moderate,Grade B (Average),2023-10-21
Ogba,Maize,466.84,Pest/Disease Outbreak,Moderate,Grade C (Below Average),2023-08-02
Amuwo Odofin,Okra,310.26,Exchange Rate Fluctuation,Scarce,Grade B (Average),2023-07-08
Bodija,Maize,373.9,Demand Surge,Low,Grade B (Average),2023-07-12
Anthony Village,Carrots,383.19,Transportation Cost,Scarce,Grade A (Fresh),2024-03-15
Apapa,Tomatoes,1171.75,Government Policies,Low,Grade A (Fresh),2023-01-13
Ogba,Cabbage,285.06,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-08-13
Surulere,Fish (Fresh),2981.95,Seasonal Availability,Moderate,Grade B (Average),2024-03-20
Ketu,Spinach,298.49,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-09-19
Jericho,Onions,828.68,Seasonal Availability,Moderate,Grade B (Average),2023-04-10
Ring Road (Central Ibadan),Fish (Fresh),4605.16,Transportation Cost,Low,Grade A (Fresh),2023-01-06
Oshodi,Oranges,117.77,Pest/Disease Outbreak,Moderate,Grade B (Average),2023-04-02
Ring Road (Central Ibadan),Watermelon,2418.29,Market Competition,High,Grade A (Fresh),2023-05-06
Egbeda,Potatoes,821.84,Storage Limitations,High,Grade B (Average),2023-09-10
Ring Road (Central Ibadan),Onions,680.08,Exchange Rate Fluctuation,Scarce,Grade C (Below Average),2024-02-29
Oke Bola,Fish (Fresh),4801.77,Demand Surge,Low,Grade A (Fresh),2023-07-25
Alimosho,Maize,881.09,Fuel Price Hike,Low,Grade B (Average),2024-01-19
Eleyele,Mangoes,156.04,Storage Limitations,High,Grade A (Fresh),2023-07-01
Badagry,Cucumber,315.36,Demand Surge,Low,Grade C (Below Average),2023-01-29
Ojoo,Mangoes,404.03,Weather Conditions,Scarce,Grade B (Average),2023-09-20
Akobo,Chicken (Live),4360.69,Weather Conditions,Low,Grade A (Fresh),2023-09-04
Agbowo,Yam,824.63,Seasonal Availability,Moderate,Grade A (Fresh),2023-10-19
Ogba,Mangoes,696.24,Fuel Price Hike,Low,Grade A (Fresh),2023-01-12
Orita-Challenge,Potatoes,307.6,Government Policies,High,Grade A (Fresh),2024-03-08
Bashorun,Chicken (Live),9144.45,Weather Conditions,Low,Grade A (Fresh),2023-10-04
Bashorun,Pineapple,594.46,Market Competition,Scarce,Grade B (Average),2023-07-20
Anthony Village,Potatoes,291.75,Transportation Cost,Moderate,Grade A (Fresh),2023-10-02
Epe,Okra,881.06,Storage Limitations,High,Grade A (Fresh),2023-01-22
Mushin,Tomatoes,946.36,Storage Limitations,Moderate,Grade B (Average),2023-09-08
Yaba,Potatoes,1388.73,Demand Surge,Moderate,Grade A (Fresh),2023-08-24
Gbagada,Garlic,1577.0,Exchange Rate Fluctuation,Low,Grade B (Average),2023-05-01
Anthony Village,Fish (Fresh),1834.21,Government Policies,Moderate,Grade A (Fresh),2024-02-08
Monatan,Beans,694.99,Fuel Price Hike,Low,Grade A (Fresh),2023-08-14
Badagry,Chicken (Live),8307.13,Weather Conditions,Moderate,Grade A (Fresh),2024-03-30
Ikoyi,Potatoes,857.3,Transportation Cost,High,Grade B (Average),2024-02-12
Eleyele,Beans,658.55,Weather Conditions,Moderate,Grade B (Average),2023-07-03
Mushin,Sweet Potatoes,1111.43,Fuel Price Hike,High,Grade A (Fresh),2023-09-06
Bodija,Rice,1300.74,Transportation Cost,High,Grade A (Fresh),2023-11-26
Mokola,Cucumber,412.57,Government Policies,High,Grade B (Average),2023-07-13
Agege,Pineapple,466.76,Pest/Disease Outbreak,Low,Grade B (Average),2024-03-19
Epe,Potatoes,659.26,Fuel Price Hike,Low,Grade B (Average),2024-01-07
Ojodu,Pepper,652.37,Government Policies,High,Grade A (Fresh),2023-05-13
Monatan,Chicken (Live),9512.66,Weather Conditions,Moderate,Grade B (Average),2023-07-22
Mushin,Spinach,513.64,Demand Surge,Low,Grade B (Average),2023-09-10
Bodija,Rice,1115.17,Government Policies,High,Grade A (Fresh),2023-07-12
Oshodi,Cabbage,1183.65,Fuel Price Hike,High,Grade A (Fresh),2023-04-13
Alimosho,Fish (Fresh),2644.23,Demand Surge,Low,Grade A (Fresh),2023-12-30
UI (University of Ibadan),Spinach,469.72,Weather Conditions,Moderate,Grade C (Below Average),2023-03-09
Oke Bola,Yam,1012.46,Pest/Disease Outbreak,High,Grade C (Below Average),2023-10-17
Ketu,Garlic,3262.38,Transportation Cost,Moderate,Grade A (Fresh),2023-02-24
Eleyele,Yam,497.45,Weather Conditions,High,Grade B (Average),2023-01-17
Samonda,Pepper,1152.81,Market Competition,High,Grade A (Fresh),2023-01-27
Ojoo,Tomatoes,631.33,Pest/Disease Outbreak,High,Grade A (Fresh),2023-04-29
Anthony Village,Garlic,4393.18,Fuel Price Hike,Moderate,Grade A (Fresh),2023-03-31
Mushin,Onions,780.93,Weather Conditions,Scarce,Grade B (Average),2024-02-12
Maryland,Beans,1224.89,Market Competition,Low,Grade A (Fresh),2023-02-06
Mushin,Watermelon,3556.29,Fuel Price Hike,High,Grade B (Average),2023-05-12
Gbagada,Mangoes,468.37,Market Competition,Moderate,Grade C (Below Average),2024-01-14
Monatan,Garlic,829.31,Seasonal Availability,Low,Grade C (Below Average),2023-07-30
Bashorun,Plantain,495.02,Seasonal Availability,Low,Grade A (Fresh),2023-09-20
Eleyele,Plantain,608.26,Seasonal Availability,Scarce,Grade A (Fresh),2023-12-07
Oshodi,Carrots,588.31,Seasonal Availability,High,Grade A (Fresh),2023-02-18
Victoria Island (VI),Cucumber,234.94,Pest/Disease Outbreak,Low,Grade B (Average),2023-03-18
Surulere,Okra,814.12,Seasonal Availability,Moderate,Grade A (Fresh),2023-12-18
Victoria Island (VI),Sweet Potatoes,525.96,Pest/Disease Outbreak,High,Grade A (Fresh),2023-01-10
UI (University of Ibadan),Garlic,2356.6,Fuel Price Hike,Moderate,Grade B (Average),2023-07-19
Ikeja,Cucumber,229.95,Pest/Disease Outbreak,High,Grade A (Fresh),2023-02-01
Lekki,Watermelon,1904.13,Transportation Cost,Low,Grade A (Fresh),2023-09-11
Festac Town,Maize,406.83,Seasonal Availability,Low,Grade B (Average),2023-02-28
Epe,Mangoes,380.91,Seasonal Availability,Moderate,Grade B (Average),2024-01-24
Surulere,Banana,269.8,Fuel Price Hike,High,Grade B (Average),2023-10-19
Oluyole Estate,Sweet Potatoes,301.22,Weather Conditions,Moderate,Grade A (Fresh),2023-04-10
Maryland,Fish (Fresh),4263.9,Storage Limitations,Moderate,Grade B (Average),2023-07-06
Ikeja,Beans,1448.48,Demand Surge,Moderate,Grade A (Fresh),2023-01-13
Anthony Village,Plantain,572.33,Demand Surge,Moderate,Grade A (Fresh),2023-11-08
Ajah,Okra,569.82,Weather Conditions,Moderate,Grade B (Average),2023-09-23
Anthony Village,Garlic,3254.69,Market Competition,Moderate,Grade C (Below Average),2023-05-11
Ijegun,Sweet Potatoes,887.5,Fuel Price Hike,High,Grade A (Fresh),2023-08-17
Badagry,Maize,971.25,Fuel Price Hike,Moderate,Grade A (Fresh),2023-12-14
Ologuneru,Yam,686.11,Market Competition,Moderate,Grade A (Fresh),2023-04-21
Ikoyi,Potatoes,615.32,Transportation Cost,Moderate,Grade A (Fresh),2023-07-29
Ring Road (Central Ibadan),Oranges,196.43,Demand Surge,High,Grade A (Fresh),2023-02-17
Lekki,Chicken (Live),6303.95,Storage Limitations,High,Grade B (Average),2023-03-15
Bashorun,Lettuce,584.57,Fuel Price Hike,Moderate,Grade A (Fresh),2023-10-23
Festac Town,Pepper,1416.68,Weather Conditions,Low,Grade A (Fresh),2023-07-22
Ikoyi,Mangoes,560.08,Transportation Cost,Low,Grade A (Fresh),2023-07-04
Apata,Beans,759.58,Fuel Price Hike,High,Grade A (Fresh),2023-08-27
Molete,Lettuce,288.44,Storage Limitations,High,Grade A (Fresh),2023-12-03
Samonda,Pineapple,521.83,Pest/Disease Outbreak,Moderate,Grade B (Average),2024-01-22
Apapa,Fish (Fresh),3244.73,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-12-02
Monatan,Plantain,298.98,Government Policies,Scarce,Grade B (Average),2023-10-29
Sango,Tomatoes,330.77,Pest/Disease Outbreak,High,Grade B (Average),2024-03-05
Ologuneru,Cucumber,370.05,Transportation Cost,Low,Grade C (Below Average),2023-05-02
Eleyele,Rice,905.48,Market Competition,Low,Grade A (Fresh),2023-03-12
Egbeda,Onions,348.77,Market Competition,High,Grade C (Below Average),2023-11-20
Ologuneru,Oranges,62.35,Pest/Disease Outbreak,Scarce,Grade B (Average),2023-07-28
Bodija,Garlic,1292.91,Seasonal Availability,High,Grade A (Fresh),2023-06-15
Ajah,Ginger,3677.62,Fuel Price Hike,Moderate,Grade A (Fresh),2023-05-29
Mushin,Rice,1629.84,Market Competition,Moderate,Grade B (Average),2023-12-31
Monatan,Pepper,955.38,Government Policies,Low,Grade A (Fresh),2023-12-03
Mushin,Chicken (Live),9954.45,Pest/Disease Outbreak,High,Grade A (Fresh),2023-09-17
Agege,Maize,535.81,Government Policies,High,Grade A (Fresh),2023-10-02
Dugbe,Cabbage,561.5,Market Competition,Low,Grade A (Fresh),2023-07-24
Lekki,Okra,462.62,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-11-11
Egbeda,Maize,510.18,Demand Surge,Moderate,Grade A (Fresh),2023-10-25
Maryland,Lettuce,874.18,Fuel Price Hike,Moderate,Grade A (Fresh),2024-02-05
Alimosho,Cucumber,156.55,Market Competition,Moderate,Grade A (Fresh),2024-03-26
Surulere,Plantain,575.54,Exchange Rate Fluctuation,Low,Grade B (Average),2024-02-08
Ojoo,Potatoes,318.8,Storage Limitations,Low,Grade A (Fresh),2023-12-22
Epe,Pineapple,637.23,Market Competition,High,Grade C (Below Average),2024-03-03
Ologuneru,Mangoes,480.68,Weather Conditions,Low,Grade A (Fresh),2024-02-26
Oshodi,Fish (Fresh),4154.08,Seasonal Availability,High,Grade A (Fresh),2023-08-20
Badagry,Fish (Fresh),6769.47,Demand Surge,High,Grade B (Average),2023-03-13
Alimosho,Tomatoes,483.3,Exchange Rate Fluctuation,High,Grade B (Average),2023-04-17
Amuwo Odofin,Beans,456.52,Market Competition,Low,Grade A (Fresh),2023-07-24
Challenge,Yam,1032.74,Demand Surge,Moderate,Grade B (Average),2023-10-06
Mushin,Yam,1356.42,Market Competition,High,Grade B (Average),2024-03-23
Oshodi,Pineapple,1714.1,Demand Surge,Scarce,Grade A (Fresh),2023-09-14
Maryland,Carrots,1234.24,Demand Surge,Scarce,Grade B (Average),2023-09-15
Victoria Island (VI),Ginger,2196.51,Seasonal Availability,High,Grade A (Fresh),2023-08-16
Ajah,Tomatoes,1110.93,Weather Conditions,High,Grade A (Fresh),2024-03-25
Agege,Rice,623.52,Government Policies,Moderate,Grade B (Average),2023-04-08
Ojodu,Pepper,1234.74,Market Competition,High,Grade A (Fresh),2024-03-17
Sango,Mangoes,518.3,Exchange Rate Fluctuation,High,Grade B (Average),2023-06-05
Apata,Onions,330.38,Weather Conditions,High,Grade B (Average),2024-01-30
Eleyele,Carrots,646.14,Seasonal Availability,High,Grade A (Fresh),2023-09-01
Amuwo Odofin,Cabbage,469.45,Market Competition,High,Grade A (Fresh),2023-09-19
Agodi GRA,Yam,1427.82,Fuel Price Hike,High,Grade B (Average),2023-11-12
Ring Road (Central Ibadan),Carrots,703.33,Fuel Price Hike,Moderate,Grade A (Fresh),2024-02-03
Apapa,Ginger,1487.51,Pest/Disease Outbreak,Scarce,Grade B (Average),2023-03-29
Samonda,Mangoes,247.25,Storage Limitations,High,Grade B (Average),2023-04-14
Egbeda,Watermelon,1865.57,Storage Limitations,Low,Grade B (Average),2023-08-06
Eleyele,Onions,789.17,Weather Conditions,Scarce,Grade B (Average),2023-04-25
Ikeja,Onions,239.03,Government Policies,High,Grade A (Fresh),2023-02-02
Amuwo Odofin,Okra,635.0,Transportation Cost,Moderate,Grade A (Fresh),2023-06-04
Ojodu,Oranges,78.46,Government Policies,High,Grade B (Average),2023-04-06
Yaba,Cabbage,506.56,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-06-29
Anthony Village,Carrots,952.01,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-04-24
Oluyole Estate,Pineapple,1067.64,Exchange Rate Fluctuation,Low,Grade C (Below Average),2024-03-17
Agodi GRA,Yam,1185.25,Seasonal Availability,Scarce,Grade B (Average),2023-08-27
Iwo Road,Oranges,254.75,Government Policies,High,Grade C (Below Average),2023-05-09
Mushin,Onions,557.66,Pest/Disease Outbreak,Low,Grade B (Average),2023-05-24
Mushin,Sweet Potatoes,462.6,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2024-01-15
Apata,Sweet Potatoes,609.25,Transportation Cost,High,Grade A (Fresh),2024-01-02
Maryland,Beans,1943.44,Fuel Price Hike,Scarce,Grade B (Average),2023-02-15
Badagry,Cabbage,515.87,Transportation Cost,High,Grade A (Fresh),2024-01-15
Lekki,Lettuce,161.18,Seasonal Availability,Moderate,Grade A (Fresh),2024-03-23
Samonda,Sweet Potatoes,371.37,Market Competition,Moderate,Grade A (Fresh),2023-07-13
Lekki,Beans,572.1,Storage Limitations,Moderate,Grade A (Fresh),2023-09-15
Ojoo,Yam,1223.09,Weather Conditions,High,Grade B (Average),2023-12-08
Bashorun,Lettuce,1062.44,Fuel Price Hike,Moderate,Grade B (Average),2023-12-30
Ring Road (Central Ibadan),Banana,217.16,Pest/Disease Outbreak,Low,Grade A (Fresh),2024-01-02
